Indicator,Disaggregation combinations using this value
#4-2-2-a,2
#4-6-1-a,2
#4-6-1-d,2
#5-4-1-a,2
#5-a-1a-a,2
#5-b-1-a,2
#8-5-1-a,2
#8-5-2-a,2
