Year,Region,Value
2010,Asturias,7.48
2011,Asturias,9.63
2012,Asturias,12.52
2013,Asturias,14.69
2014,Asturias,16.82
2015,Asturias,18.12
2016,Asturias,18.87
2017,Asturias,18.78
2018,Asturias,18.73
2019,Asturias,18.38
2020,Asturias,20.91
2021,Asturias,18.63
