Year,Region,Value
2010,Asturias,2823.31
2011,Asturias,2674.27
2012,Asturias,2416.91
2013,Asturias,2426.82
2014,Asturias,2394.61
2015,Asturias,2499.39
2016,Asturias,2486.14
2017,Asturias,2650.13
2018,Asturias,2659.94
2019,Asturias,2663.09
2020,Asturias,2240.83
2010,España,2671.08
2011,España,2618.51
2012,España,2463.77
2013,España,2447.71
2014,España,2505.82
2015,España,2623.82
2016,España,2682.66
2017,España,2829.62
2018,España,2785.41
2019,España,2781.13
2020,España,2432.35
2021,España,2576.78
