Year,Region,Value
2010,Asturias,0.702025197888674
2011,Asturias,-1.02494971513298
2012,Asturias,-3.62782611417407
2013,Asturias,-2.39447497695526
2014,Asturias,0.54520239130627
2015,Asturias,3.59844602300697
2016,Asturias,2.38963048607971
2017,Asturias,2.76432094373972
2018,Asturias,2.11258840767693
2019,Asturias,1.74082248925731
2020,Asturias,-9.80055265256567
2010,España,-0.26
2011,España,-1.18
2012,España,-3.02
2013,España,-1.07
2014,España,1.69
2015,España,3.94
2016,España,2.94
2017,España,2.79
2018,España,1.86
2019,España,1.27
2020,España,-11.29
2021,España,5.19
