Year,Region,Value
2011,Asturias,68.25
2012,Asturias,67.8
2013,Asturias,62.3
2014,Asturias,54.39
2015,Asturias,68.85
2016,Asturias,76.19
2017,Asturias,71.67
2018,Asturias,66.13
2019,Asturias,50.0
2020,Asturias,75.41
2021,Asturias,66.37
2022,Asturias,68.99
2023,Asturias,76.69
2011,España,47.01
2012,España,47.62
2013,España,49.07
2014,España,47.43
2015,España,54.85
2016,España,56.57
2017,España,60.12
2018,España,55.34
2019,España,50.02
2020,España,59.35
2021,España,57.63
2022,España,59.28
2023,España,59.87
