Year,Region,Value
2010,Asturias,68.0090108416568
2011,Asturias,72.4913082643095
2012,Asturias,74.6090757458587
2013,Asturias,74.1852744540216
2014,Asturias,76.2604655886089
2015,Asturias,76.1546126891062
2016,Asturias,74.6598927351831
2017,Asturias,76.0330607127628
2018,Asturias,76.0330607127628
2019,Asturias,77.6412564204787
2020,Asturias,78.3587970757654
2010,España,64.55
2011,España,66.14
2012,España,68.52
2013,España,69.98
2014,España,71.52
2015,España,72.02
2016,España,72.98
2017,España,73.05
2018,España,73.59
2019,España,73.37
2020,España,74.1
