Year,Region,Value
2010,Asturias,24.0
2011,Asturias,25.3
2012,Asturias,26.06
2013,Asturias,27.76
2014,Asturias,29.03
2015,Asturias,30.76
2016,Asturias,32.02
2017,Asturias,32.66
2018,Asturias,33.9
2019,Asturias,35.65
2020,Asturias,36.81
2021,Asturias,39.94
2022,Asturias,38.69
2010,España,22.91
2011,España,23.92
2012,España,24.6
2013,España,26.21
2014,España,27.97
2015,España,29.17
2016,España,30.4
2017,España,31.55
2018,España,32.54
2019,España,33.28
2020,España,34.21
2021,España,35.18
2022,España,36.04
