Year,Region,Value
2010,Asturias,2.44750740693031
2011,Asturias,5.14006682086867
2012,Asturias,3.67357648911047
2013,Asturias,2.69824614000899
2014,Asturias,3.33333333333333
2015,Asturias,2.32378001549187
2016,Asturias,3.30864975579014
2017,Asturias,3.16034597471723
2018,Asturias,2.26757369614512
2019,Asturias,3.88198757763975
2010,España,3.87
2011,España,3.81
2012,España,3.72
2013,España,3.37
2014,España,3.41
2015,España,3.16
2016,España,3.27
2017,España,3.26
2018,España,3.29
2019,España,3.27
2020,España,3.2
