Year,Region,Value
2010,Asturias,12.94
2011,Asturias,12.8
2012,Asturias,12.14
2013,Asturias,11.74
2014,Asturias,11.5
2015,Asturias,11.06
2016,Asturias,11.32
2017,Asturias,11.84
2018,Asturias,12.02
2019,Asturias,12.15
2020,Asturias,12.33
2021,Asturias,11.82
2022,Asturias,11.64
2023,Asturias,11.55
2010,España,11.65
2011,España,11.43
2012,España,11.02
2013,España,10.77
2014,España,10.54
2015,España,10.52
2016,España,10.43
2017,España,10.73
2018,España,10.64
2019,España,10.68
2020,España,10.95
2021,España,10.53
2022,España,10.36
2023,España,10.3
