Year,Region,Sex,Value
2012,Asturias,,18.03
2013,Asturias,,15.62
2014,Asturias,,16.04
2015,Asturias,,12.17
2016,Asturias,,13.02
2017,Asturias,,10.98
2018,Asturias,,10.36
2019,Asturias,,11.09
2020,Asturias,,12.22
2021,Asturias,,7.74
2022,Asturias,,5.57
2012,Asturias,Hombre,25.71
2013,Asturias,Hombre,19.25
2014,Asturias,Hombre,19.83
2015,Asturias,Hombre,14.83
2016,Asturias,Hombre,15.94
2017,Asturias,Hombre,15.86
2018,Asturias,Hombre,11.45
2019,Asturias,Hombre,14.38
2020,Asturias,Hombre,17.13
2021,Asturias,Hombre,11.43
2022,Asturias,Hombre,8.13
2012,Asturias,Mujer,10.95
2013,Asturias,Mujer,12.29
2014,Asturias,Mujer,12.56
2015,Asturias,Mujer,9.74
2016,Asturias,Mujer,10.35
2017,Asturias,Mujer,6.51
2018,Asturias,Mujer,9.35
2019,Asturias,Mujer,8.08
2020,Asturias,Mujer,7.73
2021,Asturias,Mujer,4.37
2022,Asturias,Mujer,3.23
2012,España,,12.79
2013,España,,11.9
2014,España,,11.44
2015,España,,10.82
2016,España,,10.93
2017,España,,10.07
2018,España,,10.0
2019,España,,9.98
2020,España,,8.07
2021,España,,7.72
2022,España,,7.79
2012,España,Hombre,16.25
2013,España,Hombre,14.45
2014,España,Hombre,14.07
2015,España,Hombre,13.33
2016,España,Hombre,13.79
2017,España,Hombre,13.0
2018,España,Hombre,12.77
2019,España,Hombre,12.77
2020,España,Hombre,10.31
2021,España,Hombre,9.81
2022,España,Hombre,10.1
2012,España,Mujer,9.41
2013,España,Mujer,9.42
2014,España,Mujer,8.9
2015,España,Mujer,8.39
2016,España,Mujer,8.16
2017,España,Mujer,7.25
2018,España,Mujer,7.33
2019,España,Mujer,7.3
2020,España,Mujer,5.92
2021,España,Mujer,5.71
2022,España,Mujer,5.57
