Year,Region,Value
2010,Asturias,12.98
2011,Asturias,12.8
2012,Asturias,12.36
2013,Asturias,11.93
2014,Asturias,11.77
2015,Asturias,11.63
2016,Asturias,11.94
2017,Asturias,11.98
2018,Asturias,12.22
2019,Asturias,12.2
2020,Asturias,12.08
2021,Asturias,11.75
2022,Asturias,11.58
2023,Asturias,11.36
2010,España,11.43
2011,España,11.24
2012,España,10.88
2013,España,10.56
2014,España,10.36
2015,España,10.35
2016,España,10.51
2017,España,10.53
2018,España,10.52
2019,España,10.53
2020,España,10.56
2021,España,10.26
2022,España,10.15
2023,España,10.0
