Year,Region,Value
2010,Asturias,-14.67
2011,Asturias,25.16
2012,Asturias,286.82
2013,Asturias,-1.6
2014,Asturias,8.85
2015,Asturias,3.71
2016,Asturias,-3.36
2017,Asturias,3.52
2018,Asturias,0.0
2019,Asturias,0.0
2020,Asturias,25.56
2021,Asturias,11.54
2022,Asturias,14.61
2010,España,8237.74
2011,España,12448.07
2012,España,1896.62
2013,España,9316.68
2014,España,8421.09
2015,España,6615.09
2016,España,9223.82
2017,España,9462.74
2018,España,8768.14
2019,España,4237.9
2020,España,3790.4
2021,España,-236.27
2022,España,-4896.45
2023,España,6072.15
