Year,Region,Value
2010,Asturias,60.0
2011,Asturias,60.3
2012,Asturias,58.2
2013,Asturias,57.6
2014,Asturias,64.0
2015,Asturias,66.3
2016,Asturias,68.9
2017,Asturias,70.9
2018,Asturias,71.9
2019,Asturias,73.5
2020,Asturias,75.4
2010,España,56.3
2011,España,57.3
2012,España,56.6
2013,España,57.1
2014,España,59.0
2015,España,61.1
2016,España,62.6
2017,España,64.3
2018,España,65.6
2019,España,66.8
2020,España,68.6
