Year,Region,Value
2010,Asturias,334.34
2011,Asturias,340.99
2012,Asturias,340.44
2013,Asturias,331.63
2014,Asturias,328.25
2015,Asturias,335.52
2016,Asturias,344.93
2017,Asturias,342.35
2018,Asturias,346.82
2019,Asturias,339.38
2020,Asturias,341.02
2021,Asturias,340.8
2022,Asturias,342.14
2010,España,221.87
2011,España,225.59
2012,España,228.64
2013,España,230.0
2014,España,228.87
2015,España,231.1
2016,España,234.12
2017,España,234.51
2018,España,232.31
2019,España,231.2
2020,España,229.24
2021,España,231.01
2022,España,231.58
