Year,Region,Value
2011,Asturias,61.16
2012,Asturias,59.81
2013,Asturias,52.78
2014,Asturias,49.55
2015,Asturias,47.61
2016,Asturias,56.3
2017,Asturias,57.5
2018,Asturias,57.92
2019,Asturias,46.46
2020,Asturias,54.72
2021,Asturias,53.31
2022,Asturias,48.43
2011,Asturias,62.3
2012,Asturias,62.71
2013,Asturias,66.67
2014,Asturias,57.14
2015,Asturias,45.76
2016,Asturias,69.49
2017,Asturias,70.0
2018,Asturias,82.46
2019,Asturias,63.27
2020,Asturias,49.18
2021,Asturias,54.97
2022,Asturias,44.73
2011,Asturias,63.49
2012,Asturias,74.19
2013,Asturias,70.49
2014,Asturias,68.33
2015,Asturias,53.12
2016,Asturias,71.88
2017,Asturias,69.84
2018,Asturias,80.65
2019,Asturias,61.67
2020,Asturias,77.42
2021,Asturias,67.63
2022,Asturias,61.92
2011,Asturias,52.38
2012,Asturias,65.38
2013,Asturias,54.72
2014,Asturias,46.81
2015,Asturias,42.86
2016,Asturias,46.67
2017,Asturias,54.39
2018,Asturias,40.68
2019,Asturias,33.33
2020,Asturias,48.15
2021,Asturias,40.59
2022,Asturias,44.69
2011,Asturias,42.86
2012,Asturias,44.23
2013,Asturias,28.85
2014,Asturias,17.65
2015,Asturias,33.87
2016,Asturias,35.0
2017,Asturias,36.84
2018,Asturias,29.82
2019,Asturias,28.3
2020,Asturias,22.81
2021,Asturias,27.29
2022,Asturias,24.63
2011,Asturias,68.25
2012,Asturias,67.8
2013,Asturias,62.3
2014,Asturias,54.39
2015,Asturias,68.85
2016,Asturias,76.19
2017,Asturias,71.67
2018,Asturias,66.13
2019,Asturias,50.0
2020,Asturias,75.41
2021,Asturias,66.37
2022,Asturias,68.99
2011,Asturias,63.49
2012,Asturias,51.79
2013,Asturias,35.29
2014,Asturias,35.42
2015,Asturias,51.72
2016,Asturias,43.1
2017,Asturias,57.14
2018,Asturias,47.27
2019,Asturias,45.28
2020,Asturias,61.4
2021,Asturias,69.08
2022,Asturias,47.71
2011,Asturias,74.6
2012,Asturias,78.57
2013,Asturias,83.33
2014,Asturias,89.09
2015,Asturias,50.82
2016,Asturias,64.52
2017,Asturias,64.41
2018,Asturias,82.76
2019,Asturias,58.49
2020,Asturias,75.44
2021,Asturias,74.98
2022,Asturias,71.96
2011,Asturias,66.67
2012,Asturias,52.46
2013,Asturias,53.33
2014,Asturias,58.93
2015,Asturias,47.54
2016,Asturias,69.35
2017,Asturias,57.38
2018,Asturias,61.29
2019,Asturias,48.21
2020,Asturias,51.72
2021,Asturias,33.57
2022,Asturias,40.39
2011,Asturias,56.36
2012,Asturias,41.18
2013,Asturias,20.0
2014,Asturias,18.18
2015,Asturias,33.93
2016,Asturias,30.51
2017,Asturias,35.85
2018,Asturias,30.19
2019,Asturias,29.63
2020,Asturias,30.91
2021,Asturias,45.35
2022,Asturias,30.85
