Year,Region,Value
2010,Asturias,-39.91
2011,Asturias,-34.8
2012,Asturias,-30.57
2013,Asturias,-33.87
2014,Asturias,-32.68
2015,Asturias,-17.52
2016,Asturias,-34.15
2017,Asturias,-28.97
2018,Asturias,-34.9
2019,Asturias,-48.35
2020,Asturias,-56.84
2021,Asturias,-45.17
2022,Asturias,-44.74
2023,Asturias,-56.8
2010,España,-21.21
2011,España,-21.12
2012,España,-22.29
2013,España,-29.0
2014,España,-29.11
2015,España,-26.78
2016,España,-29.88
2017,España,-26.67
2018,España,-28.37
2019,España,-32.97
2020,España,-42.77
2021,España,-38.48
2022,España,-37.0
