Year,Region,Value
2010,Asturias,-2.39
2011,Asturias,-0.91
2012,Asturias,-3.93
2013,Asturias,-2.95
2014,Asturias,-0.1
2015,Asturias,2.75
2016,Asturias,1.43
2017,Asturias,1.98
2018,Asturias,1.66
2019,Asturias,1.27
2020,Asturias,-10.31
2021,Asturias,5.4
2022,Asturias,4.84
2023,Asturias,1.72
2024,Asturias,2.94
2011,España,-0.64
2012,España,-2.87
2013,España,-1.43
2014,España,1.52
2015,España,4.06
2016,España,2.92
2017,España,2.9
2018,España,2.4
2019,España,1.96
2020,España,-10.94
2021,España,6.68
2022,España,6.37
2023,España,2.46
2024,España,3.46
2025,España,2.82
