Year,Region,Value
2010,Asturias,13.04
2011,Asturias,13.88
2012,Asturias,14.64
2013,Asturias,15.95
2014,Asturias,15.99
2015,Asturias,14.25
2016,Asturias,11.57
2017,Asturias,9.99
2018,Asturias,8.48
2019,Asturias,7.32
2020,Asturias,6.24
2021,Asturias,5.07
2022,Asturias,3.82
2010,España,18.1
2011,España,18.68
2012,España,19.01
2013,España,19.98
2014,España,19.36
2015,España,16.53
2016,España,13.62
2017,España,10.87
2018,España,8.03
2019,España,5.52
2020,España,3.86
2021,España,2.67
2022,España,1.77
