Year,Region,Value
2010,Asturias,-24.23
2011,Asturias,-17.77
2012,Asturias,-12.44
2013,Asturias,-16.61
2014,Asturias,-15.1
2015,Asturias,4.02
2016,Asturias,-16.96
2017,Asturias,-10.42
2018,Asturias,-17.9
2019,Asturias,-34.87
2020,Asturias,-45.57
2021,Asturias,-30.86
2022,Asturias,-30.32
2023,Asturias,-45.52
2024,Asturias,-45.52
2010,España,23.78
2011,España,23.04
2012,España,20.55
2013,España,9.81
2014,España,8.65
2015,España,11.94
2016,España,7.26
2017,España,12.44
2018,España,9.88
2019,España,3.09
2020,España,-12.1
2021,España,-5.55
2022,España,-2.96
2023,España,-12.18
2024,España,-12.84
