Year,Region,Value
2010,Asturias,13.37
2011,Asturias,12.8
2012,Asturias,12.01
2013,Asturias,12.35
2014,Asturias,12.12
2015,Asturias,12.2
2016,Asturias,11.85
2017,Asturias,12.3
2018,Asturias,12.09
2019,Asturias,11.88
2020,Asturias,11.14
2021,Asturias,12.56
2022,Asturias,12.61
2010,España,11.53
2011,España,11.44
2012,España,11.09
2013,España,11.14
2014,España,11.21
2015,España,11.29
2016,España,11.21
2017,España,11.51
2018,España,11.12
2019,España,10.95
2020,España,10.47
2021,España,11.13
2022,España,10.99
