Year,Region,Value
2011,Asturias,63.49
2012,Asturias,74.19
2013,Asturias,70.49
2014,Asturias,68.33
2015,Asturias,53.12
2016,Asturias,71.88
2017,Asturias,69.84
2018,Asturias,80.65
2019,Asturias,61.67
2020,Asturias,77.42
2021,Asturias,67.63
2022,Asturias,61.92
2023,Asturias,66.87
2024,Asturias,45.79
2011,España,56.92
2012,España,50.33
2013,España,40.34
2014,España,43.22
2015,España,49.03
2016,España,47.51
2017,España,53.31
2018,España,53.95
2019,España,59.77
2020,España,68.02
2021,España,62.19
2022,España,55.56
2023,España,54.88
