Year,Region,Value
2010,Asturias,99.9349466562581
2011,Asturias,99.9216096158871
2012,Asturias,99.9598876855194
2013,Asturias,99.939107931192
2014,Asturias,99.9538674457942
2015,Asturias,99.889954409684
2016,Asturias,99.9679897567221
2017,Asturias,99.9663469628134
2018,Asturias,99.9293286219081
2019,Asturias,99.9411302982732
2010,España,99.94
2011,España,99.94
2012,España,99.94
2013,España,99.93
2014,España,99.93
2015,España,99.92
2016,España,99.93
2017,España,99.93
2018,España,99.92
2019,España,99.93
