Year,Region,Value
2010,Asturias,12.28
2011,Asturias,13.68
2012,Asturias,5.8
2013,Asturias,13.21
2014,Asturias,14.23
2015,Asturias,18.22
2016,Asturias,18.99
2017,Asturias,20.06
2018,Asturias,20.22
2019,Asturias,21.69
2020,Asturias,22.56
2021,Asturias,19.13
2010,España,33.14
2011,España,33.34
2012,España,34.29
2013,España,35.76
2014,España,37.33
2015,España,37.13
2016,España,37.44
2017,España,37.17
2018,España,37.05
2019,España,37.25
2020,España,38.51
