Year,Region,Value
2010,Asturias,23.6
2011,Asturias,21.31
2012,Asturias,22.71
2013,Asturias,22.23
2014,Asturias,23.25
2015,Asturias,22.26
2016,Asturias,22.57
2017,Asturias,21.78
2018,Asturias,22.83
2019,Asturias,21.04
2020,Asturias,27.03
2021,Asturias,26.24
2022,Asturias,22.6
2023,Asturias,23.29
2010,España,21.27
2011,España,19.58
2012,España,22.77
2013,España,21.55
2014,España,22.41
2015,España,21.39
2016,España,20.69
2017,España,20.7
2018,España,20.81
2019,España,20.61
2020,España,26.32
2021,España,25.68
2022,España,22.08
