Year,Region,Value
2010,Asturias,2823.30806417512
2011,Asturias,2674.269913124
2012,Asturias,2416.9072198808
2013,Asturias,2426.82023935005
2014,Asturias,2394.61146753206
2015,Asturias,2499.38843515066
2016,Asturias,2486.14081432116
2017,Asturias,2650.12536882751
2018,Asturias,2659.93645332125
2019,Asturias,2663.0915376765
2020,Asturias,2240.82722407908
2010,España,2671.08
2011,España,2618.51
2012,España,2463.77
2013,España,2447.71
2014,España,2505.82
2015,España,2623.82
2016,España,2682.66
2017,España,2829.62
2018,España,2785.41
2019,España,2781.13
2020,España,2432.45
