Year,Región,Value
2010,Asturias,0.69
2011,Asturias,0.33
2012,Asturias,0.85
2013,Asturias,0.28
2014,Asturias,0.61
2015,Asturias,1.01
2016,Asturias,0.7
2017,Asturias,-0.12
2018,Asturias,-0.24
2019,Asturias,-0.11
2020,Asturias,-5.55
2021,Asturias,2.73
2022,Asturias,1.76
2023,Asturias,0.58
2010,España,1.94
2011,España,1.83
2012,España,1.49
2013,España,0.79
2014,España,0.48
2015,España,1.14
2016,España,0.76
2017,España,0.26
2018,España,0.21
2019,España,-0.67
2020,España,-6.84
2021,España,4.0
2022,España,2.6
2023,España,-0.33
