Year,Región,Value
2010,Asturias,-14.67
2011,Asturias,25.16
2012,Asturias,286.82
2013,Asturias,-0.94
2014,Asturias,8.85
2015,Asturias,44.42
2016,Asturias,-3.36
2017,Asturias,3.52
2018,Asturias,0.0
2019,Asturias,0.05
2020,Asturias,25.69
2021,Asturias,11.54
2022,Asturias,34.2
2023,Asturias,973.93
2024,Asturias,148.83
2010,España,7982.83
2011,España,12889.29
2012,España,1997.11
2013,España,9349.67
2014,España,7978.14
2015,España,6698.39
2016,España,9183.75
2017,España,9599.09
2018,España,8891.55
2019,España,4383.53
2020,España,3795.56
2021,España,-480.39
2022,España,-4690.51
2023,España,6965.75
