Year,Región,Sexo,Value
2010,Asturias,,12.22
2011,Asturias,,11.7
2012,Asturias,,11.62
2013,Asturias,,11.84
2014,Asturias,,11.62
2015,Asturias,,12.9
2016,Asturias,,13.77
2017,Asturias,,12.74
2018,Asturias,,11.45
2019,Asturias,,11.2
2020,Asturias,,11.22
2021,Asturias,,10.95
2022,Asturias,,11.57
2023,Asturias,,11.77
2024,Asturias,,11.67
2025,Asturias,,11.41
2010,Asturias,Hombre,10.65
2011,Asturias,Hombre,10.8
2012,Asturias,Hombre,10.62
2013,Asturias,Hombre,11.29
2014,Asturias,Hombre,12.03
2015,Asturias,Hombre,13.17
2016,Asturias,Hombre,13.67
2017,Asturias,Hombre,12.16
2018,Asturias,Hombre,10.64
2019,Asturias,Hombre,10.73
2020,Asturias,Hombre,10.87
2021,Asturias,Hombre,10.15
2022,Asturias,Hombre,11.45
2023,Asturias,Hombre,11.1
2024,Asturias,Hombre,11.08
2025,Asturias,Hombre,11.61
2010,Asturias,Mujer,14.1
2011,Asturias,Mujer,12.72
2012,Asturias,Mujer,12.77
2013,Asturias,Mujer,12.46
2014,Asturias,Mujer,11.16
2015,Asturias,Mujer,12.62
2016,Asturias,Mujer,13.87
2017,Asturias,Mujer,13.36
2018,Asturias,Mujer,12.34
2019,Asturias,Mujer,11.7
2020,Asturias,Mujer,11.59
2021,Asturias,Mujer,11.83
2022,Asturias,Mujer,11.7
2023,Asturias,Mujer,12.47
2024,Asturias,Mujer,12.29
2025,Asturias,Mujer,11.18
