Year,Región,Value
2010,Asturias,-3.82
2011,Asturias,-5.22
2012,Asturias,-4.18
2013,Asturias,-4.97
2014,Asturias,-4.01
2015,Asturias,-2.67
2016,Asturias,-3.98
2017,Asturias,-5.21
2018,Asturias,-1.69
2019,Asturias,-3.56
2020,Asturias,-7.21
2021,Asturias,-7.64
2022,Asturias,-8.3
2023,Asturias,-9.19
