Year,Región,Value
2010,Asturias,3.88974738255044
2011,Asturias,4.98319683254007
2012,Asturias,4.57526485770641
2013,Asturias,6.92265646608972
2014,Asturias,5.6679151847265
2015,Asturias,6.18762705324396
2016,Asturias,9.12406556520281
2017,Asturias,7.91570976163011
2018,Asturias,8.069255633312
2019,Asturias,7.54564891278013
2020,Asturias,8.23553743414863
2010,España,5.72
2011,España,5.65
2012,España,5.62
2013,España,5.91
2014,España,6.41
2015,España,7.01
2016,España,7.28
2017,España,7.08
2018,España,7.05
2019,España,7.87
2020,España,8.54
