Year,Región,Sexo,Value
2010,Asturias,,0
2011,Asturias,,0
2012,Asturias,,0
2013,Asturias,,0
2014,Asturias,,0
2015,Asturias,,0
2016,Asturias,,0
2017,Asturias,,0
2018,Asturias,,0
2019,Asturias,,0
2020,Asturias,,0
2010,Asturias,Hombre,0
2011,Asturias,Hombre,0
2012,Asturias,Hombre,0
2013,Asturias,Hombre,0
2014,Asturias,Hombre,0
2015,Asturias,Hombre,0
2016,Asturias,Hombre,0
2017,Asturias,Hombre,0
2018,Asturias,Hombre,0
2019,Asturias,Hombre,0
2020,Asturias,Hombre,0
2010,Asturias,Mujer,0
2011,Asturias,Mujer,0
2012,Asturias,Mujer,0
2013,Asturias,Mujer,0
2014,Asturias,Mujer,0
2015,Asturias,Mujer,0
2016,Asturias,Mujer,0
2017,Asturias,Mujer,0
2018,Asturias,Mujer,0
2019,Asturias,Mujer,0
2020,Asturias,Mujer,0
2010,España,,0
2011,España,,0
2012,España,,0
2013,España,,0
2014,España,,0
2015,España,,0
2016,España,,0
2017,España,,0
2018,España,,0
2019,España,,0
2020,España,,0
2010,España,Hombre,0
2011,España,Hombre,0
2012,España,Hombre,0
2013,España,Hombre,0
2014,España,Hombre,0
2015,España,Hombre,0
2016,España,Hombre,0
2017,España,Hombre,0
2018,España,Hombre,0
2019,España,Hombre,0
2020,España,Hombre,0
2010,España,Mujer,0
2011,España,Mujer,0
2012,España,Mujer,0
2013,España,Mujer,0
2014,España,Mujer,0
2015,España,Mujer,0
2016,España,Mujer,0
2017,España,Mujer,0
2018,España,Mujer,0
2019,España,Mujer,0
2020,España,Mujer,0
