Year,Región,Value
2010,Asturias,14.2860743963655
2011,Asturias,16.4799050670192
2012,Asturias,18.5019809985928
2013,Asturias,13.5726201668652
2014,Asturias,15.0814540381331
2015,Asturias,15.049135865671
2016,Asturias,13.9418912159288
2017,Asturias,14.2095339305003
2018,Asturias,13.9602952743574
2019,Asturias,14.0739083008604
2010,España,18.74
2011,España,18.46
2012,España,18.12
2013,España,18.04
2014,España,16.57
2015,España,15.92
2016,España,14.23
2017,España,14.13
2018,España,13.53
2019,España,13.08
