Year,Región,Value
2010,Asturias,7.1550366347168
2011,Asturias,4.92970977961407
2012,Asturias,5.0434954785997
2013,Asturias,4.79803562776651
2014,Asturias,4.55382046562814
2015,Asturias,3.92704131917938
2016,Asturias,3.95367069394635
2017,Asturias,4.36913140696711
2018,Asturias,4.78425920139974
2019,Asturias,3.52927682176858
2010,España,5.02
2011,España,4.53
2012,España,4.09
2013,España,3.88
2014,España,4.03
2015,España,4.05
2016,España,4.07
2017,España,4.18
2018,España,4.06
2019,España,3.91
2020,España,3.09
