Year,Región,Value
2010,Asturias,2.13
2011,Asturias,2.14
2012,Asturias,2.1
2013,Asturias,2.25
2014,Asturias,2.41
2015,Asturias,2.43
2016,Asturias,2.38
2017,Asturias,2.27
2018,Asturias,2.25
2019,Asturias,2.23
2020,Asturias,2.09
2021,Asturias,2.27
2022,Asturias,1.98
2023,Asturias,1.76
2010,España,0.6
2011,España,0.58
2012,España,0.6
2013,España,0.58
2014,España,0.55
2015,España,0.55
2016,España,0.55
2017,España,0.53
2018,España,0.54
2019,España,0.53
2020,España,0.55
2021,España,0.52
2022,España,0.43
