Year,Región,Value
2010,Asturias,1.28816179312122
2011,Asturias,2.69853508095605
2012,Asturias,2.75518236683285
2013,Asturias,1.3491230700045
2014,Asturias,2.12121212121212
2015,Asturias,0.774593338497289
2016,Asturias,1.41799275248149
2017,Asturias,1.82967398536261
2018,Asturias,1.56985871271586
2019,Asturias,1.94099378881988
2020,Asturias,2.93439530496751
2010,España,2.08
2011,España,2.1
2012,España,2.09
2013,España,1.89
2014,España,2.07
2015,España,1.82
2016,España,1.85
2017,España,1.86
2018,España,1.87
2019,España,1.84
2020,España,1.76
