Year,Región,Value
2011,Asturias,40.13
2012,Asturias,39.42
2013,Asturias,41.08
2014,Asturias,40.77
2015,Asturias,40.3
2016,Asturias,39.87
2017,Asturias,39.37
2018,Asturias,38.84
2019,Asturias,33.89
2020,Asturias,35.1
2021,Asturias,35.28
2022,Asturias,32.16
2023,Asturias,29.82
2024,Asturias,29.89
2011,España,20.48
2012,España,20.84
2013,España,20.64
2014,España,20.11
2015,España,19.71
2016,España,19.28
2017,España,18.97
2018,España,18.6
2019,España,17.95
2020,España,19.04
2021,España,18.31
2022,España,16.81
2023,España,16.16
2024,España,15.77
2025,España,15.78
