Year,Región,Value
2010,Asturias,10.76
2011,Asturias,10.47
2012,Asturias,10.2
2013,Asturias,10.31
2014,Asturias,10.23
2015,Asturias,10.39
2016,Asturias,10.56
2017,Asturias,10.2
2018,Asturias,10.06
2019,Asturias,9.99
2020,Asturias,10.13
2021,Asturias,10.33
2022,Asturias,10.34
2023,Asturias,9.72
2024,Asturias,9.52
2010,España,468.95
2011,España,453.52
2012,España,452.1
2013,España,460.31
2014,España,485.21
2015,España,488.15
2016,España,485.19
2017,España,498.03
2018,España,491.75
2019,España,482.36
2020,España,489.77
2021,España,489.46
2022,España,439.69
2023,España,436.03
2024,España,440.7
