Year,Región,Value
2017,Asturias,94.27
2018,Asturias,94.53
2020,Asturias,95.19
2021,Asturias,98.61
2022,Asturias,94.26
2017,España,88.46
2018,España,94.79
2019,España,94.42
2020,España,93.71
2021,España,93.24
2022,España,94.88
2023,España,92.26
