Year,Región,Value
2010,Asturias,24.97
2011,Asturias,24.23
2012,Asturias,23.59
2013,Asturias,24.02
2014,Asturias,23.82
2015,Asturias,24.16
2016,Asturias,24.57
2017,Asturias,23.8
2018,Asturias,21.82
2019,Asturias,21.78
2020,Asturias,22.09
2021,Asturias,22.51
2022,Asturias,22.57
2023,Asturias,21.21
2024,Asturias,20.77
2010,España,18.56
2011,España,17.79
2012,España,17.77
2013,España,18.09
2014,España,19.13
2015,España,19.32
2016,España,19.21
2017,España,19.63
2018,España,19.44
2019,España,19.09
2020,España,19.39
2021,España,19.34
2022,España,17.42
2023,España,17.26
2024,España,17.46
