Year,Región,Value
2010,Asturias,18.22
2011,Asturias,19.79
2012,Asturias,21.17
2013,Asturias,20.31
2014,Asturias,20.85
2015,Asturias,25.79
2016,Asturias,20.73
2017,Asturias,22.52
2018,Asturias,20.75
2019,Asturias,16.54
2020,Asturias,13.88
2021,Asturias,17.76
2022,Asturias,17.95
2023,Asturias,14.01
2024,Asturias,13.96
2010,España,6.58
2011,España,6.52
2012,España,6.38
2013,España,5.84
2014,España,5.79
2015,España,5.97
2016,España,5.72
2017,España,5.99
2018,España,5.82
2019,España,5.42
2020,España,4.6
2021,España,4.94
2022,España,5.03
2023,España,4.5
2024,España,4.42
