Year,Región,Value
2010,Asturias,12.4757281553398
2011,Asturias,11.9053549190535
2012,Asturias,12.6926090363019
2013,Asturias,12.4796968056308
2014,Asturias,13.6327398352378
2015,Asturias,12.6794258373206
2016,Asturias,12.975912975913
2017,Asturias,12.819216182048
2018,Asturias,12.1969890278132
2019,Asturias,12.0413436692506
2020,Asturias,11.912883757544
2010,España,12.85
2011,España,12.76
2012,España,12.61
2013,España,12.36
2014,España,12.35
2015,España,12.45
2016,España,12.45
2017,España,12.71
2018,España,12.65
2019,España,12.61
2020,España,12.66
