Year,Región,Value
2010,Asturias,0.81
2011,Asturias,0.34
2012,Asturias,1.53
2013,Asturias,1.43
2014,Asturias,-0.57
2015,Asturias,1.49
2016,Asturias,-0.34
2017,Asturias,1.8
2018,Asturias,-0.25
2019,Asturias,1.47
2020,Asturias,1.78
2021,Asturias,-2.28
2022,Asturias,0.22
2023,Asturias,0.07
2024,Asturias,0.43
2011,España,1.51
2012,España,2.05
2013,España,1.45
2014,España,0.48
2015,España,1.03
2016,España,0.35
2017,España,0.74
2018,España,-0.07
2019,España,0.23
2020,España,0.05
2021,España,-0.51
2022,España,1.24
2023,España,-0.21
2024,España,1.2
2025,España,0.74
