Year,Región,Value
2010,Asturias,573.989118768962
2011,Asturias,537.050024462522
2012,Asturias,499.93088543233
2013,Asturias,489.42973935377
2014,Asturias,497.958370491243
2015,Asturias,519.406767728915
2016,Asturias,518.745702793895
2017,Asturias,516.053645166333
2018,Asturias,489.100676435668
2019,Asturias,497.608424775915
2010,España,523.6
2011,España,498.16
2012,España,478.89
2013,España,467.57
2014,España,459.12
2015,España,466.41
2016,España,471.01
2017,España,483.86
2018,España,485.93
2019,España,483.7
