Year,Región,Value
2010,Asturias,2389.19306749445
2011,Asturias,2291.56707385295
2012,Asturias,2107.83767728522
2013,Asturias,2092.37336928284
2014,Asturias,1913.9990732334
2015,Asturias,1930.12179078012
2016,Asturias,1992.31158786428
2017,Asturias,2149.35842931128
2018,Asturias,2236.53140694232
2019,Asturias,2581.17581778736
2020,Asturias,2297.56466024504
2010,España,2891.88
2011,España,2786.59
2012,España,2710.87
2013,España,2644.69
2014,España,2631.26
2015,España,2638.15
2016,España,2726.24
2017,España,2862.78
2018,España,2998.58
2019,España,3056.42
2020,España,3069.91
