Year,Región,Value
2010,Asturias,33.33
2011,Asturias,42.22
2012,Asturias,42.22
2013,Asturias,42.22
2014,Asturias,42.22
2015,Asturias,48.89
2016,Asturias,48.89
2017,Asturias,48.89
2018,Asturias,48.89
2019,Asturias,48.89
2020,Asturias,44.44
2021,Asturias,44.44
2022,Asturias,44.44
2010,España,42.22
2011,España,43.14
2012,España,43.38
2013,España,43.38
2014,España,43.38
2015,España,44.52
2016,España,45.08
2017,España,45.43
2018,España,45.43
2019,España,46.23
2020,España,46.34
2021,España,47.18
2022,España,47.43
