Year,Región,Value
2010,Asturias,44.4
2011,Asturias,62.56
2012,Asturias,77.85
2013,Asturias,65.32
2014,Asturias,68.98
2015,Asturias,66.35
2016,Asturias,66.34
2017,Asturias,66.49
2018,Asturias,65.01
2019,Asturias,65.98
2020,Asturias,61.43
2021,Asturias,54.2
2022,Asturias,53.76
2010,España,49.8
2011,España,66.67
2012,España,79.02
2013,España,66.98
2014,España,69.54
2015,España,69.18
2016,España,70.64
2017,España,72.53
2018,España,72.69
2019,España,72.4
2020,España,67.8
2021,España,63.28
2022,España,64.35
