Year,Región,Value
2010,Asturias,7.53
2011,Asturias,9.68
2012,Asturias,12.58
2013,Asturias,14.75
2014,Asturias,16.86
2015,Asturias,18.12
2016,Asturias,18.89
2017,Asturias,18.83
2018,Asturias,18.76
2019,Asturias,18.41
2020,Asturias,20.8
2021,Asturias,18.49
2022,Asturias,15.8
2023,Asturias,14.97
2024,Asturias,13.55
2010,España,11.53
2011,España,13.65
2012,España,18.26
2013,España,20.53
2014,España,22.9
2015,España,24.22
2016,España,24.67
2017,España,24.62
2018,España,24.2
2019,España,23.54
2020,España,26.92
2021,España,25.3
2022,España,23.05
2023,España,21.72
2024,España,21.07
2025,España,20.25
