Year,Región,Value
2010,Asturias,110.38
2011,Asturias,107.43
2012,Asturias,102.39
2013,Asturias,100.33
2014,Asturias,101.69
2015,Asturias,101.61
2016,Asturias,100.77
2017,Asturias,102.64
2018,Asturias,104.93
2019,Asturias,102.44
2020,Asturias,95.01
2021,Asturias,104.51
2022,Asturias,106.67
2010,España,102.65
2011,España,100.81
2012,España,98.55
2013,España,100.36
2014,España,104.99
2015,España,106.46
2016,España,102.77
2017,España,99.75
2018,España,99.82
2019,España,102.77
2020,España,93.68
2021,España,100.22
2022,España,101.58
