Year,Región,Value
2010,Asturias,12.68
2011,Asturias,12.52
2012,Asturias,11.82
2013,Asturias,11.42
2014,Asturias,11.16
2015,Asturias,10.71
2016,Asturias,11.2
2017,Asturias,11.42
2018,Asturias,11.53
2019,Asturias,11.66
2020,Asturias,11.86
2021,Asturias,11.43
2022,Asturias,11.07
2010,España,11.48
2011,España,11.26
2012,España,10.83
2013,España,10.55
2014,España,10.3
2015,España,10.25
2016,España,10.36
2017,España,10.43
2018,España,10.34
2019,España,10.44
2020,España,10.67
2021,España,10.33
2022,España,10.13
2023,España,10.05
