Year,Región,Value
2010,Asturias,100.0
2011,Asturias,100.0
2012,Asturias,100.0
2013,Asturias,100.0
2014,Asturias,100.0
2015,Asturias,100.0
2016,Asturias,100.0
2017,Asturias,100.0
2019,Asturias,100.0
2021,Asturias,100.0
2023,Asturias,99.7
