Year,Región,Value
2010,Asturias,29.5
2011,Asturias,29.12
2012,Asturias,27.18
2013,Asturias,26.49
2014,Asturias,26.4
2015,Asturias,25.81
2016,Asturias,22.79
2017,Asturias,24.47
2018,Asturias,22.45
2019,Asturias,20.34
2020,Asturias,24.17
2021,Asturias,24.02
2022,Asturias,26.12
2010,España,25.08
2011,España,25.63
2012,España,25.26
2013,España,20.79
2014,España,21.7
2015,España,23.86
2016,España,21.35
2017,España,23.24
2018,España,20.79
2019,España,20.92
2020,España,20.29
2021,España,20.38
2022,España,23.2
