Year,Región,Value
2010,Asturias,4.71
2011,Asturias,5.43
2012,Asturias,7.1
2013,Asturias,6.06
2014,Asturias,5.86
2015,Asturias,5.9
2016,Asturias,5.97
2017,Asturias,5.86
2018,Asturias,5.67
2019,Asturias,5.6
2020,Asturias,6.83
2021,Asturias,6.04
