Year,Región,Value
2010,Asturias,11.45
2011,Asturias,10.8
2012,Asturias,8.35
2013,Asturias,8.09
2014,Asturias,7.71
2015,Asturias,7.19
2016,Asturias,6.44
2017,Asturias,8.52
2018,Asturias,8.88
2019,Asturias,8.22
2020,Asturias,9.21
2021,Asturias,7.56
2022,Asturias,9.32
2010,España,18.72
2011,España,17.24
2012,España,15.95
2013,España,13.92
2014,España,13.22
2015,España,12.47
2016,España,13.42
2017,España,14.22
2018,España,15.63
2019,España,16.15
2020,España,15.72
2021,España,16.06
2022,España,16.19
