Year,Región,Value
2010,Asturias,14.1
2011,Asturias,19.23
2012,Asturias,19.23
2013,Asturias,20.51
2014,Asturias,21.79
2015,Asturias,23.08
2016,Asturias,23.08
2017,Asturias,23.08
2018,Asturias,23.08
2019,Asturias,28.21
2020,Asturias,28.21
2021,Asturias,29.49
2022,Asturias,29.49
2023,Asturias,23.08
2010,España,14.6
2011,España,16.77
2012,España,16.77
2013,España,17.17
2014,España,17.42
2015,España,19.09
2016,España,19.09
2017,España,19.09
2018,España,19.09
2019,España,21.71
2020,España,21.71
2021,España,22.04
2022,España,22.26
