Year,Región,Value
2010,Asturias,0.7
2011,Asturias,-1.02
2012,Asturias,-3.63
2013,Asturias,-2.39
2014,Asturias,0.55
2015,Asturias,3.6
2016,Asturias,2.29
2017,Asturias,2.78
2018,Asturias,2.11
2019,Asturias,1.67
2020,Asturias,-10.29
2021,Asturias,5.98
2022,Asturias,4.22
2010,España,-0.26
2011,España,-1.18
2012,España,-2.99
2013,España,-1.05
2014,España,1.72
2015,España,3.95
2016,España,2.94
2017,España,2.79
2018,España,1.84
2019,España,1.18
2020,España,-11.65
2021,España,6.4
2022,España,4.81
2023,España,1.23
