Year,Región,Value
2011,Asturias,29.8006927884724
2012,Asturias,21.6618233383601
2013,Asturias,30.8649511707994
2014,Asturias,39.352050267487
2015,Asturias,45.2511141034665
2016,Asturias,41.3826395255442
2017,Asturias,36.4782574863873
2018,Asturias,31.4452612424513
2019,Asturias,35.077502076672
2020,Asturias,44.7676045964487
2021,Asturias,46.637659236102
2011,España,28.09
2012,España,28.78
2013,España,29.34
2014,España,29.42
2015,España,30.35
2016,España,30.31
2017,España,30.92
2018,España,31.91
2019,España,33.73
2020,España,36.48
