Year,Región,Value
2010,Asturias,48.28
2011,Asturias,47.79
2012,Asturias,46.4
2013,Asturias,45.59
2014,Asturias,45.81
2015,Asturias,45.33
2016,Asturias,45.04
2017,Asturias,44.84
2018,Asturias,45.11
2019,Asturias,46.19
2020,Asturias,49.44
2021,Asturias,47.45
2022,Asturias,45.54
2010,España,49.11
2011,España,48.26
2012,España,46.69
2013,España,45.8
2014,España,45.86
2015,España,45.72
2016,España,45.2
2017,España,45.05
2018,España,45.36
2019,España,46.58
2020,España,50.11
2021,España,49.04
2022,España,47.76
