Year,Región,Value
2010,Asturias,14.14
2011,Asturias,13.56
2012,Asturias,12.73
2013,Asturias,13.04
2014,Asturias,12.78
2015,Asturias,12.92
2016,Asturias,12.49
2017,Asturias,13.11
2018,Asturias,12.88
2019,Asturias,12.67
2020,Asturias,11.95
2021,Asturias,13.57
2022,Asturias,13.32
2023,Asturias,13.38
2010,España,11.73
2011,España,11.66
2012,España,11.32
2013,España,11.34
2014,España,11.41
2015,España,11.52
2016,España,11.38
2017,España,11.81
2018,España,11.41
2019,España,11.26
2020,España,10.85
2021,España,11.59
2022,España,11.6
2023,España,11.54
