Year,Región,Value
2010,Asturias,14.8
2011,Asturias,19.6
2012,Asturias,20.7
2013,Asturias,20.5
2014,Asturias,21.3
2015,Asturias,20.9
2016,Asturias,21.1
2017,Asturias,16.6
2018,Asturias,17.42
2019,Asturias,24.12
2020,Asturias,22.1
2021,Asturias,23.5
2022,Asturias,21.03
2010,España,19.48
2011,España,19.37
2012,España,19.69
2013,España,19.3
2014,España,20.45
2015,España,20.23
2016,España,20.18
2017,España,20.62
2018,España,20.23
2019,España,19.49
2020,España,19.71
2021,España,20.61
2022,España,19.39
