Year,Región,Value
2011,Asturias,74.6
2012,Asturias,78.57
2013,Asturias,83.33
2014,Asturias,89.09
2015,Asturias,50.82
2016,Asturias,64.52
2017,Asturias,64.41
2018,Asturias,82.76
2019,Asturias,58.49
2020,Asturias,75.44
2021,Asturias,74.98
2022,Asturias,71.96
2023,Asturias,77.95
2011,España,67.01
2012,España,60.38
2013,España,61.01
2014,España,58.61
2015,España,62.32
2016,España,61.5
2017,España,62.44
2018,España,64.42
2019,España,66.01
2020,España,68.37
2021,España,66.91
2022,España,65.29
2023,España,68.59
