Year,Región,Sexo,Value
2010,Asturias,,99.9
2011,Asturias,,99.9
2012,Asturias,,99.7
2013,Asturias,,99.2
2014,Asturias,,97.5
2015,Asturias,,98.2
2016,Asturias,,99.0
2017,Asturias,,97.2
2018,Asturias,,99.4
2019,Asturias,,99.2
2020,Asturias,,99.4
2021,Asturias,,99.2
2022,Asturias,,100.0
2023,Asturias,,100.0
2010,Asturias,Hombre,99.8
2011,Asturias,Hombre,100.0
2012,Asturias,Hombre,99.8
2013,Asturias,Hombre,99.1
2014,Asturias,Hombre,97.6
2015,Asturias,Hombre,97.6
2016,Asturias,Hombre,98.9
2017,Asturias,Hombre,97.5
2018,Asturias,Hombre,99.2
2019,Asturias,Hombre,98.9
2020,Asturias,Hombre,99.0
2021,Asturias,Hombre,99.4
2022,Asturias,Hombre,99.9
2010,Asturias,Mujer,100.0
2011,Asturias,Mujer,99.7
2012,Asturias,Mujer,99.5
2013,Asturias,Mujer,99.2
2014,Asturias,Mujer,97.5
2015,Asturias,Mujer,98.9
2016,Asturias,Mujer,99.1
2017,Asturias,Mujer,96.8
2018,Asturias,Mujer,99.6
2019,Asturias,Mujer,99.5
2020,Asturias,Mujer,100.0
2021,Asturias,Mujer,99.0
2022,Asturias,Mujer,100.0
2010,España,,98.5
2011,España,,98.1
2012,España,,97.7
2013,España,,97.6
2014,España,,97.2
2015,España,,98.0
2016,España,,98.1
2017,España,,95.8
2018,España,,98.7
2019,España,,98.9
2020,España,,98.9
2021,España,,98.3
2022,España,,98.6
2023,España,,98.5
2010,España,Hombre,97.9
2011,España,Hombre,97.5
2012,España,Hombre,97.5
2013,España,Hombre,97.3
2014,España,Hombre,97.1
2015,España,Hombre,97.8
2016,España,Hombre,98.0
2017,España,Hombre,95.7
2018,España,Hombre,98.6
2019,España,Hombre,98.8
2020,España,Hombre,98.9
2021,España,Hombre,98.4
2022,España,Hombre,98.6
2023,España,Hombre,98.8
2010,España,Mujer,99.2
2011,España,Mujer,98.8
2012,España,Mujer,98.0
2013,España,Mujer,97.9
2014,España,Mujer,97.3
2015,España,Mujer,98.1
2016,España,Mujer,98.2
2017,España,Mujer,95.9
2018,España,Mujer,98.8
2019,España,Mujer,98.9
2020,España,Mujer,98.9
2021,España,Mujer,98.3
2022,España,Mujer,98.6
2023,España,Mujer,98.3
