Year,Región,Value
2011,Asturias,20.02
2012,Asturias,18.48
2013,Asturias,28.5
2014,Asturias,26.88
2015,Asturias,17.21
2016,Asturias,25.68
2017,Asturias,15.45
2018,Asturias,28.13
2019,Asturias,33.21
2020,Asturias,31.26
2021,Asturias,28.8
2022,Asturias,21.03
2023,Asturias,37.17
2024,Asturias,43.53
2011,España,31.27
2012,España,30.49
2013,España,40.65
2014,España,41.0
2015,España,35.56
2016,España,39.08
2017,España,32.54
2018,España,38.74
2019,España,37.78
2020,España,44.48
2021,España,47.19
2022,España,42.81
2023,España,51.23
2024,España,56.82
