Year,Región,Value
2010,Asturias,4.24480906796563
2011,Asturias,5.0293660985966
2012,Asturias,5.21048310921765
2013,Asturias,5.24979088160904
2014,Asturias,3.7653123580429
2015,Asturias,2.79048211172327
2016,Asturias,2.68594066548299
2017,Asturias,2.97748067010309
2018,Asturias,2.87699582479314
2019,Asturias,3.07674432043683
2020,Asturias,2.84796292614771
2010,España,6.53
2011,España,7.24
2012,España,7.11
2013,España,6.52
2014,España,6.75
2015,España,7.79
2016,España,7.99
2017,España,8.21
2018,España,8.88
2019,España,9.32
2020,España,9.65
