Year,Region,Value
2010,Asturias,7.82383419689119
2011,Asturias,7.63116057233704
2012,Asturias,7.59095591823456
2013,Asturias,7.61421319796954
2014,Asturias,7.36155261837042
2015,Asturias,6.36622549840844
2016,Asturias,6.8804794140495
2017,Asturias,7.21286201960137
2018,Asturias,6.39670407112268
2019,Asturias,5.41487498009237
2020,Asturias,5.08879426731748
2010,España,10.61
2011,España,9.51
2012,España,8.98
2013,España,8.38
2014,España,8.08
2015,España,7.72
2016,España,7.34
2017,España,7.04
2018,España,6.23
2019,España,5.96
2020,España,5.33
